year,keyword,score_logodds,count_top,count_rest,p_top,p_rest,delta
1995,murder,-0.19517838426786493,2,17,0.0056179775280898875,0.00826044703595724,-0.002642469507867352
1995,new_york_city,-0.44735228921006165,1,13,0.0028089887640449437,0.006316812439261419,-0.003507823675216475
1996,terrorism,2.1906209724281602,3,2,0.00909090909090909,0.0009555661729574773,0.008135342917951613
1996,explosion,2.1906209724281602,3,2,0.00909090909090909,0.0009555661729574773,0.008135342917951613
1996,paris,1.5141494762507408,2,3,0.006060606060606061,0.001433349259436216,0.004627256801169845
1996,london,1.2623565790611853,2,4,0.006060606060606061,0.0019111323459149545,0.004149473714691106
1996,france,1.2623565790611853,2,4,0.006060606060606061,0.0019111323459149545,0.004149473714691106
1996,showdown,1.2623565790611853,2,4,0.006060606060606061,0.0019111323459149545,0.004149473714691106
1996,dog,1.2623565790611853,2,4,0.006060606060606061,0.0019111323459149545,0.004149473714691106
1996,based_on_play_or_musical,1.0612071856482945,2,5,0.006060606060606061,0.0023889154323936935,0.003671690628212367
1996,obsession,1.0612071856482945,2,5,0.006060606060606061,0.0023889154323936935,0.003671690628212367
1996,england,0.8936741737729088,2,6,0.006060606060606061,0.002866698518872432,0.0031939075417336286
1996,hostage,0.8936741737729088,2,6,0.006060606060606061,0.002866698518872432,0.0031939075417336286
1996,action_hero,0.750094173438832,2,7,0.006060606060606061,0.0033444816053511705,0.00271612445525489
1996,divorce,0.7484914392772986,1,4,0.0030303030303030303,0.0019111323459149545,0.0011191706843880758
1996,husband_wife_relationship,0.7484914392772986,1,4,0.0030303030303030303,0.0019111323459149545,0.0011191706843880758
1996,lgbt,0.5473420458644078,1,5,0.0030303030303030303,0.0023889154323936935,0.0006413875979093368
1996,fistfight,0.5473420458644078,1,5,0.0030303030303030303,0.0023889154323936935,0.0006413875979093368
1996,high_school,0.5473420458644078,1,5,0.0030303030303030303,0.0023889154323936935,0.0006413875979093368
1996,small_town,0.5473420458644078,1,5,0.0030303030303030303,0.0023889154323936935,0.0006413875979093368
1996,florida,0.5473420458644078,1,5,0.0030303030303030303,0.0023889154323936935,0.0006413875979093368
1996,loss_of_loved_one,0.3798090339890221,1,6,0.0030303030303030303,0.002866698518872432,0.0001636045114305983
1996,california,0.3798090339890221,1,6,0.0030303030303030303,0.002866698518872432,0.0001636045114305983
1996,serial_killer,0.3798090339890221,1,6,0.0030303030303030303,0.002866698518872432,0.0001636045114305983
1996,musical,0.3798090339890221,1,6,0.0030303030303030303,0.002866698518872432,0.0001636045114305983
1996,sports,0.23686931627626429,2,12,0.006060606060606061,0.005733397037744864,0.0003272090228611966
1996,new_york_city,-0.19313390716260415,1,11,0.0030303030303030303,0.005255613951266125,-0.0022253109209630947
1996,murder,-0.21118513184728904,2,19,0.006060606060606061,0.009077878643096034,-0.0030172725824899735
1996,los_angeles,-0.5543005481528809,0,5,0.0,0.0023889154323936935,-0.0023889154323936935
1996,19th_century,-0.5543005481528809,0,5,0.0,0.0023889154323936935,-0.0023889154323936935
1996,coming_of_age,-0.5543005481528809,0,5,0.0,0.0023889154323936935,-0.0023889154323936935
1996,investigation,-0.5543005481528809,0,5,0.0,0.0023889154323936935,-0.0023889154323936935
1997,shootout,1.7110973199170845,3,3,0.007594936708860759,0.001379310344827586,0.0062156263640331735
1997,undercover,1.4593224864715078,3,4,0.007594936708860759,0.0018390804597701149,0.005755856249090644
1997,wedding,1.3720805526608766,2,3,0.005063291139240506,0.001379310344827586,0.0036839807944129203
1997,based_on_comic,1.3720805526608766,2,3,0.005063291139240506,0.001379310344827586,0.0036839807944129203
1997,explosion,1.3720805526608766,2,3,0.005063291139240506,0.001379310344827586,0.0036839807944129203
1997,superhero,1.3720805526608766,2,3,0.005063291139240506,0.001379310344827586,0.0036839807944129203
1997,helicopter,1.1203057192152999,2,4,0.005063291139240506,0.0018390804597701149,0.0032242106794703913
1997,scientist,1.1203057192152999,2,4,0.005063291139240506,0.0018390804597701149,0.0032242106794703913
1997,california,0.8136506763203348,5,13,0.012658227848101266,0.005977011494252874,0.006681216353848392
1997,prison,0.6080976067498538,2,7,0.005063291139240506,0.003218390804597701,0.0018449003346428052
1997,island,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,dystopia,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,france,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,airplane,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,journalist,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,spy,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,dog,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,action_hero,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,military,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,airport,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,based_on_true_story,0.6069420230208378,1,4,0.002531645569620253,0.0018390804597701149,0.0006925651098501383
1997,london,0.48247320917512315,2,8,0.005063291139240506,0.0036781609195402297,0.0013851302197002767
1997,usa,0.4058107103234585,1,5,0.002531645569620253,0.0022988505747126436,0.00023279499490760957
1997,fbi,0.4058107103234585,1,5,0.002531645569620253,0.0022988505747126436,0.00023279499490760957
1997,creature,0.4058107103234585,1,5,0.002531645569620253,0.0022988505747126436,0.00023279499490760957
1997,escape,0.4058107103234585,1,5,0.002531645569620253,0.0022988505747126436,0.00023279499490760957
1997,los_angeles,0.37078610659016586,2,9,0.005063291139240506,0.004137931034482759,0.0009253601047577477
1997,love,0.37078610659016586,2,9,0.005063291139240506,0.004137931034482759,0.0009253601047577477
1997,england,0.2702409675079007,2,10,0.005063291139240506,0.004597701149425287,0.00046558998981521913
1997,small_town,0.23829579615904883,1,6,0.002531645569620253,0.002758620689655172,-0.000226975120034919
