year,n_top20,n_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,share_any_top20,share_any_21_100,gap_any,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,mean_metric_top20,mean_metric_21_100,median_metric_top20,median_metric_21_100,n_top50,n_51_100,mean_polkw_top50,mean_polkw_51_100,gap_polkw_50,share_any_top50,share_any_51_100
1998,20,80,1.6,0.7875,0.8125000000000001,0.55,0.425,0.12500000000000006,0.08900308463466358,0.0693370064918978,0.019666078142765775,14.7,11.2375,3.4624999999999986,296353719.9,63765733.425,274781402.0,49195439.0,50,50,1.18,0.72,0.45999999999999996,0.5,0.4
1999,20,80,0.75,0.775,-0.025000000000000022,0.5,0.375,0.125,0.05071969696969697,0.06013389401772542,-0.009414197048028448,15.85,11.5875,4.262499999999999,364200444.3,69075540.85,310737218.5,55567378.0,50,50,1.04,0.5,0.54,0.5,0.3
2000,20,80,0.9,0.7375,0.16249999999999998,0.5,0.3875,0.11249999999999999,0.0733423520923521,0.06470431998556997,0.008638032106782129,13.7,11.2,2.5,306228015.8,75946882.45,284720061.0,60409899.0,50,50,0.88,0.66,0.21999999999999997,0.42,0.4
2001,20,80,0.75,0.775,-0.025000000000000022,0.45,0.375,0.07500000000000001,0.049392633796658564,0.08177679137383086,-0.03238415757717229,16.1,10.1375,5.962500000000002,399054613.5,79895398.7,349509035.0,71313876.0,50,50,1.08,0.46,0.6200000000000001,0.5,0.28
2002,20,80,1.5,1.05,0.44999999999999996,0.7,0.4625,0.23749999999999993,0.09295024420024421,0.08702782497131503,0.005922419228929179,16.25,11.8875,4.362500000000001,418366940.1,87820963.1625,355243619.0,74617144.0,50,50,1.5,0.78,0.72,0.62,0.4
2003,20,80,1.25,0.875,0.375,0.55,0.475,0.07500000000000007,0.06249364620054276,0.08359252147341896,-0.021098875272876197,17.65,11.625,6.024999999999999,422469584.95,101899130.7375,303669778.0,89291511.5,50,50,0.92,0.98,-0.05999999999999994,0.48,0.5
2004,20,80,0.95,0.7625,0.1875,0.45,0.4125,0.03750000000000003,0.053897997427409194,0.06127499756743682,-0.007377000140027623,17.6,12.0625,5.537500000000001,441942267.2,104170123.6125,355128299.0,96083411.0,50,50,0.68,0.92,-0.24,0.36,0.48
2005,20,80,0.55,0.925,-0.375,0.45,0.4125,0.03750000000000003,0.038683971612360354,0.06989423533338006,-0.031210263721019704,13.55,12.8125,0.7375000000000007,418597143.85,96182649.8,352567967.0,90975447.0,50,50,0.76,0.94,-0.17999999999999994,0.44,0.4
2006,20,80,0.55,0.85,-0.29999999999999993,0.3,0.3375,-0.03750000000000003,0.033164972282619345,0.061545124301509754,-0.02838015201889041,14.5,13.0,1.5,419078137.35,104046880.45,363866427.5,99761162.5,50,50,0.72,0.86,-0.14,0.34,0.32
2007,20,80,1.35,0.7375,0.6125,0.5,0.375,0.125,0.06512198394551336,0.050824960547719865,0.014297023397793492,18.9,12.5375,6.362499999999999,514727755.95,109503309.2,449453240.5,88657786.0,50,50,0.9,0.82,0.08000000000000007,0.42,0.38
