keyword,count,cum_count,cum_share
swamp,44,83298,0.46731520129258114
dancer,44,83342,0.4675620483820295
single,44,83386,0.4678088954714779
gothic,44,83430,0.46805574256092636
fashion,44,83474,0.46830258965037475
pornography,44,83518,0.4685494367398232
resurrection,44,83562,0.4687962838292716
russia,44,83606,0.46904313091871996
human_animal_relationship,44,83650,0.4692899780081684
mind_control,44,83694,0.4695368250976168
summer_camp,44,83738,0.46978367218706524
bank_robber,44,83782,0.4700305192765136
italian,44,83826,0.470277366365962
lake,44,83870,0.47052421345541046
adventurer,43,83913,0.470765450383735
fantasy_world,43,83956,0.4710066873120596
suspicion,43,83999,0.4712479242403842
amusement_park,43,84042,0.47148916116870876
feminism,43,84085,0.4717303980970333
fish_out_of_water,43,84128,0.47197163502535794
underwater,43,84171,0.4722128719536825
storm,43,84214,0.4724541088820071
undercover_cop,43,84257,0.4726953458103317
relationship_problems,43,84300,0.47293658273865624
museum,43,84343,0.47317781966698086
kingdom,43,84386,0.4734190565953054
teenage_protagonist,43,84429,0.47366029352363
accident,43,84472,0.4739015304519546
social_media,43,84515,0.47414276738027916
moon,43,84558,0.4743840043086037
oregon,43,84601,0.47462524123692834
architect,43,84644,0.4748664781652529
arranged_marriage,43,84687,0.47510771509357747
bodyguard,43,84730,0.4753489520219021
fake_identity,43,84773,0.47559018895022664
internet,43,84816,0.4758314258785512
sweden,43,84859,0.4760726628068758
falsely_accused,43,84902,0.4763138997352004
hitchhiker,43,84945,0.476555136663525
psychotronic,43,84988,0.47679637359184956
childhood_trauma,43,85031,0.4770376105201741
undead,43,85074,0.47727884744849874
farmer,42,85116,0.4775144742156995
sadness,42,85158,0.4777501009829002
fame,42,85200,0.477985727750101
holocaust_(shoah),42,85242,0.47822135451730174
boston,42,85284,0.4784569812845025
new_york,42,85326,0.47869260805170327
secret_love,42,85368,0.478928234818904
arizona,42,85410,0.47916386158610474
drug_use,42,85452,0.4793994883533055
subway,42,85494,0.4796351151205063
ex-husband_ex-wife_relationship,42,85536,0.479870741887707
loss_of_virginity,42,85578,0.48010636865490774
identity,42,85620,0.48034199542210854
violence,42,85662,0.4805776221893093
ritual,42,85704,0.48081324895651
hip-hop,42,85746,0.4810488757237108
victorian_england,42,85788,0.48128450249091154
new_mexico,41,85829,0.48151451909698845
ninja,41,85870,0.4817445357030654
rain,41,85911,0.4819745523091423
teenage_love,41,85952,0.48220456891521923
missing_child,41,85993,0.48243458552129614
photography,41,86034,0.4826646021273731
magic_realism,41,86075,0.48289461873345
war_crimes,41,86116,0.48312463533952693
film_in_film,41,86157,0.4833546519456039
young_adult,41,86198,0.4835846685516808
therapist,41,86239,0.4838146851577577
miami,41,86280,0.4840447017638347
