keyword,count,is_political,matched_rule
hungary,32,False,
rifle,32,False,
crocodile,32,False,
pig,32,False,
convict,32,False,
family_holiday,32,False,
american,32,False,
aging,32,False,
celebration,32,False,
department_store,32,False,
drunk,32,False,
sicily,32,False,
afghanistan,32,False,
atomic_bomb,32,False,
model,32,False,
abortion,32,False,
southern_france,32,False,
battlefield,31,False,
hippie,31,False,
con_artist,31,False,
ice_hockey,31,False,
alternate_reality,31,False,
seoul,31,False,
colorado,31,False,
unlikely_friendship,31,False,
based_on_fairy_tale,31,False,
success,31,False,
9/11,31,False,
unsociability,31,False,
alaska,31,False,
illegal_prostitution,31,False,
zoo,31,False,
psychology,31,False,
georgia,31,False,
twin_brother,31,False,
morocco,31,False,
drug_dealing,31,False,
monk,31,False,
pastor,31,False,
mummy,31,False,
womanizer,31,False,
death_penalty,31,False,
the_white_house,31,False,
best_friends,31,False,
peasant,31,False,
general,31,False,
rock_star,31,False,
greece,31,False,
legal_thriller,31,True,institutions_elections_law
olympic_games,31,False,
morgue,31,False,
catholic_priest,31,False,
sadomasochism,31,False,
young_love,31,False,
b_movie,31,False,
scandal,31,True,inequality_corruption_elites
expedition,30,False,
new_zealand,30,False,
attack,30,False,
war,30,True,war_security_intel
bus,30,False,
struggle_for_survival,30,False,
secret_organization,30,False,
delusion,30,False,
bride,30,False,
east_asian_lead,30,False,
based_on_short_film,30,False,
told_in_flashback,30,False,
fighter,30,False,
young_boy,30,False,
existentialism,30,False,
prehistory,30,False,
viking,30,False,
police_chase,30,True,migration_police_civilrights
arson,30,False,
double_cross,30,False,
fate,30,False,
extraterrestrial_technology,30,False,
individual,30,False,
christmas_party,30,True,institutions_elections_law
secret_society,30,False,
insane_asylum,30,True,migration_police_civilrights
crude_humor,30,False,
buddy_comedy,30,False,
fishing,30,False,
vengeance,30,False,
catholic,30,False,
refugee,30,True,migration_police_civilrights
american_civil_war,30,True,war_security_intel
sabotage,30,False,
novelist,30,False,
fisherman,30,False,
puberty,30,False,
stranger,30,False,
office,30,False,
suspicion_of_murder,30,False,
bartender,30,False,
hunter,30,False,
videotape,30,False,
erotic_thriller,30,False,
surgeon,30,False,
scuba_diving,30,False,
elderly,30,False,
dead_body,30,False,
1st_century,30,False,
hunting,30,False,
film_director,30,False,
iran,30,False,
space_station,29,False,
society,29,False,
alien_planet,29,False,
nonlinear_timeline,29,False,
misfit,29,False,
exotic_island,29,False,
freedom,29,False,
rat,29,False,
factory,29,False,
regret,29,False,
arrest,29,False,
shower,29,False,
drug_cartel,29,False,
satanism,29,False,
poetry,29,False,
saloon,29,False,
superhuman_strength,29,False,
opposites_attract,29,False,
photograph,29,False,
scam,29,False,
gang_war,29,True,war_security_intel
clone,29,False,
miracle,29,False,
father_son_conflict,29,False,
doll,29,False,
prank,29,False,
sexual_obsession,29,False,
police_investigation,29,True,migration_police_civilrights
cigarette,29,False,
switzerland,29,False,
pregnant_woman,29,False,
disco,29,False,
school_shooting,29,False,
futuristic,28,False,
honor,28,False,
quest,28,False,
secret_mission,28,False,
riddle,28,False,
telepathy,28,False,
2000s,28,False,
forgiveness,28,False,
retirement,28,False,
brutal_violence,28,False,
comic_book,28,False,
airplane_crash,28,False,
street_race,28,False,
self-discovery,28,False,
hustler,28,False,
moscow,28,False,
sadist,28,False,
misunderstanding,28,False,
iceland,28,False,
slaughter,28,False,
education,28,False,
puppetry,28,False,
criminal_investigation,28,False,
amazon_rainforest,28,False,
heavy_metal,28,False,
naples,28,False,
political_satire,28,True,institutions_elections_law
canuxploitation,28,False,
absurd,27,False,
hurricane,27,False,
tournament,27,False,
swashbuckler,27,False,
greek_mythology,27,False,
planet_mars,27,False,
teleportation,27,False,
horseback_riding,27,False,
darkness,27,False,
pandemic,27,False,
concentration_camp,27,False,
desire,27,False,
van,27,False,
mental_institution,27,False,
fictional_war,27,True,war_security_intel
disabled,27,False,
bdsm,27,False,
plague,27,False,
one_night,27,False,
victim,27,False,
junkie,27,False,
invasion,27,True,war_security_intel
elephant,27,False,
theater_play,27,False,
dirty_cop,27,True,migration_police_civilrights
slacker,27,False,
