year,n_ranked_matched,n_top20_matched,n_21_100_matched,mean_domestic_top20,mean_domestic_21_100,median_domestic_top20,median_domestic_21_100,mean_polkw_top20,mean_polkw_21_100,gap_polkw,mean_polshare_top20,mean_polshare_21_100,gap_polshare,mean_totalkw_top20,mean_totalkw_21_100,gap_totalkw,share_any_top20,share_any_21_100
2006,96,19,77,428027124.31578946,105795409.31168832,384335608.0,100266865.0,0.5789473684210527,0.8311688311688312,-0.25222146274777857,0.03491049713959931,0.060928143986726274,-0.026017646847126964,14.421052631578947,12.987012987012987,1.43403964456596,0.3157894736842105,0.3246753246753247
2007,97,20,77,516152717.55,111842918.33766234,450084108.0,92011561.0,1.35,0.7662337662337663,0.5837662337662338,0.06512198394551336,0.05349995847128408,0.011622025474229275,18.9,12.87012987012987,6.029870129870128,0.5,0.38961038961038963
2008,99,20,79,490795520.6,127719613.58227848,419215444.5,108979549.0,0.35,0.9746835443037974,-0.6246835443037975,0.031545720361509835,0.07212109390797569,-0.04057537354646586,13.85,11.556962025316455,2.2930379746835445,0.3,0.4430379746835443
2009,93,19,74,656256029.2105263,122338958.8108108,468812793.0,100437407.0,0.7368421052631579,0.6621621621621622,0.07467994310099568,0.05054179566563468,0.05344629176866019,-0.002904496103025511,13.0,10.22972972972973,2.77027027027027,0.3157894736842105,0.24324324324324326
2010,90,20,70,564099588.95,139576771.5142857,494046876.0,113737743.5,0.45,0.6571428571428571,-0.20714285714285713,0.027921081111870583,0.06739173372805085,-0.03947065261618027,14.3,9.542857142857143,4.757142857142858,0.4,0.3142857142857143
2011,95,20,75,615021429.0,141032772.56,557419936.5,142044638.0,1.2,0.7333333333333333,0.4666666666666667,0.08172438672438673,0.06374361395141794,0.017980772772968792,11.85,12.306666666666667,-0.456666666666667,0.4,0.37333333333333335
2012,86,19,67,695067245.3157895,155011345.82089552,609016565.0,130482868.0,0.7894736842105263,0.9104477611940298,-0.12097407698350349,0.05353323995270385,0.06636590311017365,-0.012832663157469802,17.105263157894736,12.059701492537313,5.045561665357424,0.47368421052631576,0.417910447761194
2013,97,20,77,662861154.65,150291152.7792208,615993904.0,117867984.0,0.9,0.6753246753246753,0.2246753246753247,0.0675718031968032,0.07318001443001443,-0.00560821123321123,11.55,9.155844155844155,2.3941558441558453,0.45,0.36363636363636365
2014,92,20,72,645725843.3,167266675.69444445,669449112.5,138283604.5,1.0,0.8888888888888888,0.11111111111111116,0.07664242007992009,0.08465007045635087,-0.00800765037643078,14.15,9.666666666666666,4.483333333333334,0.55,0.4027777777777778
2015,87,18,69,765533196.8888888,152121058.2463768,599906678.5,125842935.0,0.4444444444444444,0.9855072463768116,-0.5410628019323672,0.05509459676126343,0.08533201835593608,-0.030237421594672652,11.277777777777779,9.695652173913043,1.5821256038647356,0.3888888888888889,0.3333333333333333
2016,91,20,71,730540179.95,180459396.70422536,713459224.5,162146076.0,0.4,0.7183098591549296,-0.3183098591549296,0.024291958041958044,0.069558491697985,-0.04526653365602696,12.3,9.95774647887324,2.3422535211267608,0.3,0.3380281690140845
2017,89,19,70,794326675.2631578,178927976.5,807816196.0,155453635.0,0.5263157894736842,0.6714285714285714,-0.1451127819548872,0.030816792426699546,0.07760577812793515,-0.0467889857012356,11.473684210526315,9.142857142857142,2.3308270676691727,0.21052631578947367,0.32857142857142857
2018,90,20,70,819405861.15,181935268.0,639215020.0,132066505.5,0.4,0.6571428571428571,-0.2571428571428571,0.03437177502579979,0.058253731817610496,-0.023881956791810703,10.75,9.842857142857143,0.9071428571428566,0.25,0.34285714285714286
2019,90,19,71,925065196.8421053,170177728.6197183,760732926.0,146661977.0,0.15789473684210525,0.6197183098591549,-0.4618235730170496,0.013888888888888888,0.06373589003230065,-0.049847001143411764,10.578947368421053,9.774647887323944,0.8042994810971091,0.15789473684210525,0.38028169014084506
2021,75,18,57,535843432.2777778,84109775.54385965,405233792.0,64666502.0,0.7222222222222222,0.49122807017543857,0.23099415204678364,0.10909125872108777,0.04858103112820093,0.06051022759288684,11.11111111111111,8.666666666666666,2.4444444444444446,0.3888888888888889,0.3157894736842105
2022,82,19,63,678032950.5263158,80925913.04761904,460237662.0,67319703.0,0.47368421052631576,0.5714285714285714,-0.09774436090225563,0.04277360066833751,0.05250026048388178,-0.00972665981554427,9.842105263157896,11.253968253968255,-1.4118629908103593,0.2631578947368421,0.36507936507936506
2023,58,15,43,671185088.0,100869911.13953489,567535383.0,83410298.0,0.4666666666666667,0.4418604651162791,0.024806201550387597,0.024,0.04753037660014404,-0.023530376600144037,12.8,11.86046511627907,0.9395348837209312,0.2,0.3023255813953488
