keyword,count,is_political,matched_rule
jidaigeki,308,False,
science_fiction,308,False,
travelogue,307,False,
cumshots,307,False,
hong_kong,306,False,
3d_animation,306,False,
surfing,306,False,
brazil,306,False,
video_art,306,False,
soviet_union,305,True,labor_collective_action
docudrama,305,False,
stand-up,303,False,
propaganda,301,False,
ukraine,301,False,
car_accident,300,False,
revolution,299,True,labor_collective_action
social_media,299,False,
teen_drama,298,False,
uncut,298,False,
climate_change,296,False,
folklore,295,False,
vietnam_war,294,True,war_security_intel
human_rights,294,True,migration_police_civilrights
opera_live_performance,294,False,
technology,293,False,
audition,292,False,
identity,291,False,
sweden,291,False,
small_tits,291,False,
isolation,290,False,
occult,290,False,
princess,290,False,
cowboy,289,False,
college_student,289,False,
based_on_tv_series,289,False,
drag_queen,289,False,
memories,288,False,
disaster,287,False,
whodunit,287,False,
gay,287,False,
sword_fight,286,False,
paranoia,285,False,
coming_out,285,False,
police_officer,285,True,migration_police_civilrights
louisiana,284,False,
egypt,283,False,
railroad,283,False,
mistaken_identity,282,False,
clown,281,False,
suicide_attempt,281,False,
private_detective,281,False,
wildlife,281,False,
european,280,False,
absurd,278,False,
paranormal,278,False,
spanish_civil_war_(1936-39),278,True,war_security_intel
philosophy,277,False,
sexploitation,277,False,
fear,276,False,
olympic_games,275,False,
abortion,275,False,
pilot,274,False,
home_invasion,274,True,war_security_intel
transformation,273,False,
stripper,273,False,
artfilm,273,False,
ship,272,False,
child,272,False,
dancer,272,False,
austria,272,False,
cosplay,272,False,
cuckold,272,False,
psychic_phenomena,272,False,
rivalry,271,False,
adolescence,271,False,
dating,270,False,
university,269,False,
cop,269,True,migration_police_civilrights
one-man_show,269,False,
shark,268,False,
teenage_boy,268,False,
rome,268,False,
south_korea,268,False,
stepmother,268,False,
portrait,268,False,
nun,267,False,
psychology,266,False,
outlaw,266,False,
trial,266,True,institutions_elections_law
relationship_problems,265,False,
psychiatrist,265,False,
agriculture,265,False,
cunnilingus,265,False,
organized_crime,264,False,
gold,264,False,
aids,264,False,
married_couple,264,False,
drug_abuse,264,False,
camping,264,False,
alien_invasion,263,True,war_security_intel
computer_animation,263,False,
supernatural_horror,263,False,
hawaii,263,False,
portrait_of_an_artist,263,False,
civil_war,262,True,war_security_intel
zombie_apocalypse,262,False,
cuba,262,False,
sexual_fantasy,261,False,
environment,261,False,
culture,261,False,
ninja,260,False,
tokyo,260,False,
murder_mystery,260,False,
housewife,260,False,
disappearance,259,False,
cinema_on_cinema,259,False,
witchcraft,258,False,
turkey,258,False,
kaiju,257,False,
politician,257,False,
fishing,255,False,
haunting,255,False,
devil,255,False,
pop_music,255,False,
autism,254,False,
internet,254,False,
documentary_short,254,False,
cia,253,True,war_security_intel
stockings,253,False,
ice_hockey,252,False,
loss,252,False,
based_on_myths,252,False,
legends_or_folklore,252,False,
secret_agent,251,False,
singing,251,False,
claymation,251,False,
transgender,251,False,
deception,250,False,
mountaineering,250,False,
married_woman,250,False,
alcoholic,249,False,
first_love,249,False,
political_satire,249,True,institutions_elections_law
journey,248,False,
celebrity,248,False,
hairy,248,False,
massage,247,False,
cyberpunk,247,False,
poland,247,False,
author,247,False,
health,246,False,
